,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Salinas,1,US,1603932753,44,36.68,-121.66,71.6,9.17
1,Gardabani,85,GE,1603933043,83,41.46,45.09,52.32,1.83
2,Ostrovnoy,99,RU,1603932996,88,68.05,39.51,39.52,18.14
3,Isiro,76,CD,1603933044,97,2.77,27.62,67.96,1.1
4,Tommot,89,RU,1603933044,92,58.96,126.29,10.33,0.81
5,Rikitea,100,PF,1603933044,81,-23.12,-134.97,74.98,11.65
6,Ribeira Grande,64,PT,1603933044,86,38.52,-28.7,67.64,21.21
7,Bambous Virieux,39,MU,1603933044,73,-20.34,57.76,71.01,1.99
8,Busselton,0,AU,1603932998,38,-33.65,115.33,69.01,11.79
9,Punta Arenas,98,CL,1603932994,70,-53.15,-70.92,46.0,18.99
10,Dingle,2,PH,1603933045,79,11.0,122.67,83.84,6.51
11,Ushuaia,100,AR,1603932930,86,-54.8,-68.3,39.27,4.36
12,Rawson,0,AR,1603933042,56,-43.3,-65.1,48.78,5.55
13,College,0,US,1603933045,83,64.86,-147.8,19.0,1.97
14,Vostok,100,RU,1603933045,98,46.49,135.88,29.79,10.45
15,The Pas,0,CA,1603933018,89,53.83,-101.25,18.79,1.9
16,Faanui,3,PF,1603932775,80,-16.48,-151.75,79.72,15.88
17,Hithadhoo,0,MV,1603933045,74,-0.6,73.08,83.19,11.14
18,Vao,0,NC,1603933045,75,-22.67,167.48,72.9,16.46
19,Saint-Philippe,0,RE,1603932992,64,-21.36,55.77,69.8,5.82
20,Seoul,73,KR,1603932757,36,37.57,126.98,54.19,2.68
21,Nikolskoye,100,RU,1603933046,97,59.7,30.79,45.0,7.72
22,Ahipara,100,NZ,1603933046,81,-35.17,173.17,65.5,4.59
23,Sivas Province,0,TR,1603933046,50,39.79,37.0,48.22,1.43
24,Castro,0,BR,1603932942,48,-24.79,-50.01,63.34,2.59
25,Izhmorskiy,100,RU,1603933046,96,56.19,86.64,21.58,14.54
26,Lebu,0,CL,1603933002,74,-37.62,-73.65,49.35,19.89
27,Cidreira,0,BR,1603933046,88,-30.18,-50.21,65.55,4.56
28,Bluff,72,NZ,1603933046,75,-46.6,168.33,60.01,5.01
29,Lompoc,1,US,1603933047,17,34.64,-120.46,71.6,12.75
30,Port Lincoln,44,AU,1603933047,66,-34.73,135.87,60.94,21.63
31,Shelburne,100,CA,1603933046,68,44.08,-80.2,41.0,9.69
32,Kapaa,78,US,1603932992,59,22.08,-159.32,78.01,10.83
33,Leningradskiy,91,RU,1603933047,90,69.38,178.42,19.08,11.5
34,Henties Bay,78,NA,1603933020,89,-22.12,14.28,57.99,3.0
35,Ubari,0,LY,1603933047,45,26.59,12.78,61.79,9.53
36,Hobart,25,AU,1603932906,58,-42.88,147.33,69.01,1.99
37,Huejúcar,0,MX,1603933047,48,22.35,-103.22,62.17,6.08
38,Yulara,0,AU,1603933048,11,-25.24,130.99,91.63,17.4
39,Barretos,3,BR,1603933048,75,-20.56,-48.57,76.46,5.99
40,Ponta do Sol,65,PT,1603933048,81,32.67,-17.1,63.0,3.0
41,Cherskiy,93,RU,1603933048,95,68.75,161.3,6.26,4.56
42,Bathsheba,100,BB,1603933048,82,13.22,-59.52,80.89,24.54
43,Jamestown,100,US,1603933048,91,42.1,-79.24,44.01,1.01
44,Barrow,75,US,1603932878,62,71.29,-156.79,23.0,5.97
45,Namatanai,87,PG,1603933031,66,-3.67,152.43,86.25,1.68
46,Tura,0,IN,1603933045,89,25.52,90.22,71.06,3.69
47,Samoded,95,RU,1603933049,91,63.61,40.51,42.22,8.08
48,Esperance,0,AU,1603933049,54,-33.87,121.9,61.92,11.63
49,Biritiba-Mirim,0,BR,1603933049,26,-23.57,-46.04,78.01,1.88
50,Rutland,40,US,1603933049,87,43.62,-73.02,46.4,4.7
51,Portland,22,US,1603932782,72,45.52,-122.68,62.01,0.6
52,Yanacancha,100,PE,1603933050,77,-10.24,-76.65,45.72,2.66
53,Bredasdorp,100,ZA,1603933050,59,-34.53,20.04,62.6,2.24
54,Port Alfred,99,ZA,1603933050,84,-33.59,26.89,67.19,0.94
55,George Town,100,MY,1603933009,88,5.41,100.34,80.01,5.99
56,Sturgis,1,US,1603933050,65,41.8,-85.42,44.6,4.34
57,Thompson,100,CA,1603932834,90,55.74,-97.86,13.26,4.43
58,Tongchuanshi,4,CN,1603933050,75,35.08,109.09,49.41,1.79
59,Mahébourg,59,MU,1603933051,73,-20.41,57.7,71.01,1.99
60,Guerrero Negro,0,MX,1603933051,54,27.98,-114.06,67.8,13.65
61,Muzhi,100,RU,1603933051,98,65.37,64.67,26.94,13.89
62,Talnakh,0,RU,1603933051,74,69.49,88.4,-0.42,5.99
63,Auki,100,SB,1603933051,69,-8.77,160.7,84.6,2.73
64,Mataura,62,NZ,1603932992,75,-46.19,168.86,60.01,5.01
65,Xinmin,0,CN,1603933051,50,41.99,122.83,44.2,4.12
66,Butaritari,100,KI,1603933052,73,3.07,172.79,81.46,5.03
67,Trivandrum,6,IN,1603933052,84,8.48,76.92,76.3,4.52
68,Saskylakh,93,RU,1603933052,90,71.92,114.08,1.51,8.84
69,Mossamedes,25,AO,1603932921,84,-15.2,12.15,69.42,3.27
70,Vaini,10,TO,1603932997,72,-21.2,-175.2,73.15,19.89
71,Ati,0,TD,1603933052,18,13.22,18.34,83.08,11.56
72,Katherine,0,AU,1603933052,31,-14.47,132.27,93.16,5.66
73,Mānsa,0,IN,1603933052,31,29.98,75.38,61.0,1.79
74,Bataiporã,88,BR,1603933052,64,-22.3,-53.27,78.15,4.09
75,Tacoronte,90,ES,1603933052,77,28.48,-16.41,69.01,10.29
76,Kaitangata,93,NZ,1603933053,88,-46.28,169.85,52.0,13.0
77,Hilo,99,US,1603933053,83,19.73,-155.09,79.0,1.01
78,Chimoio,0,MZ,1603933053,94,-19.12,33.48,60.08,2.51
79,Albany,100,US,1603932907,94,42.6,-73.97,45.0,3.65
80,Puerto Ayora,58,EC,1603932995,92,-0.74,-90.35,68.0,1.01
81,Ukwā,100,IN,1603933053,70,21.97,80.47,63.19,2.15
82,Mildura,99,AU,1603932997,34,-34.2,142.15,74.32,8.99
83,Mpongwe,92,ZM,1603933053,54,-13.51,28.16,67.71,6.33
84,Port Elizabeth,95,ZA,1603932997,93,-33.92,25.57,61.0,1.99
85,Golyshmanovo,100,RU,1603933054,96,56.4,68.37,32.7,11.03
86,Trincomalee,76,LK,1603933054,81,8.57,81.23,78.4,9.48
87,East London,100,ZA,1603933054,83,-33.02,27.91,68.47,1.68
88,Amahai,100,ID,1603933054,77,-3.33,128.92,81.19,10.94
89,Lubao,100,PH,1603933054,75,14.92,120.55,82.11,3.94
90,Changping,100,CN,1603933054,45,40.22,116.22,57.99,0.56
91,Hermanus,100,ZA,1603933000,74,-34.42,19.23,61.0,10.94
92,Hofn,100,IS,1603933054,81,64.25,-15.21,44.24,26.91
93,Río Gallegos,91,AR,1603933055,64,-51.62,-69.22,48.13,36.48
94,Sept-Îles,100,CA,1603932972,74,50.2,-66.38,30.2,3.36
95,Atuona,3,PF,1603932851,73,-9.8,-139.03,77.81,13.02
96,Pevek,99,RU,1603933055,95,69.7,170.31,20.57,17.34
97,Tripoli,20,LY,1603932962,60,32.88,13.19,69.01,11.81
98,Rivadavia,0,AR,1603932807,33,-33.19,-68.46,63.45,8.52
99,Aranos,80,NA,1603933055,38,-24.13,19.12,75.79,5.86
100,Hasaki,0,JP,1603933055,63,35.73,140.83,68.0,5.01
101,Mana,17,GF,1603933056,80,5.66,-53.78,81.46,12.46
102,Tuktoyaktuk,98,CA,1603932993,97,69.45,-133.04,20.97,22.06
103,Bereket,64,TM,1603933056,48,39.24,55.52,43.9,19.35
104,Delta del Tigre,99,UY,1603933056,63,-34.76,-56.39,61.0,5.01
105,Husavik,20,IS,1603933027,90,66.04,-17.34,41.0,6.93
106,Arona,91,ES,1603933056,63,28.1,-16.68,71.01,7.23
107,Avarua,50,CK,1603933056,81,-21.21,-159.78,72.99,19.26
108,Naze,44,JP,1603933057,70,28.37,129.48,72.59,7.11
109,Kruisfontein,100,ZA,1603933057,93,-34.0,24.73,61.0,1.99
110,Kloulklubed,21,PW,1603933057,74,7.04,134.26,84.51,11.97
111,Olafsvik,77,IS,1603933057,71,64.89,-23.71,42.1,27.04
112,General Roca,100,AR,1603933057,32,-39.03,-67.58,58.78,5.61
113,Torbay,100,CA,1603933057,84,47.67,-52.73,35.01,3.36
114,Provideniya,100,RU,1603933057,90,64.38,-173.3,27.18,2.48
115,Upernavik,97,GL,1603933057,84,72.79,-56.15,13.17,11.56
116,Green River,1,US,1603933057,45,41.53,-109.47,46.4,4.7
117,Guánica,1,PR,1603933058,73,17.97,-66.91,77.0,5.55
118,Youghal,100,IE,1603933058,93,51.95,-7.85,51.01,7.0
119,Shimoda,0,JP,1603933058,65,34.67,138.95,64.99,1.01
120,Khanbari,0,NP,1603933058,42,27.37,87.2,63.27,4.14
121,Sungai Penuh,89,ID,1603933058,71,-2.08,101.38,73.99,0.45
122,Adrar,0,MR,1603933058,18,20.5,-10.07,77.97,10.29
123,Rovnoye,23,RU,1603933058,74,50.78,46.05,37.36,8.97
124,Arman',100,RU,1603933058,82,59.7,150.17,32.38,3.67
125,Gambēla,9,ET,1603933059,79,8.25,34.58,70.75,4.83
126,Saint George,1,US,1603932815,16,37.1,-113.58,64.4,10.29
127,Ol'ga,0,RU,1603933059,64,43.74,135.29,41.23,15.35
128,Mackay,0,AU,1603933059,24,-21.15,149.2,89.01,6.26
129,Bubaque,0,GW,1603933059,77,11.28,-15.83,83.17,11.45
130,Vila Velha,56,BR,1603932958,83,-20.33,-40.29,82.0,14.07
131,Lata,0,PT,1603933059,94,40.16,-8.33,55.99,2.15
132,Oranjestad,4,AW,1603933060,76,12.52,-70.03,83.62,17.47
133,Hualmay,48,PE,1603933060,81,-11.1,-77.61,63.54,9.4
134,Yellowknife,98,CA,1603933060,97,62.46,-114.35,23.0,4.23
135,Natá,100,PA,1603933060,84,8.33,-80.52,73.99,1.45
136,São Filipe,0,CV,1603933017,78,14.9,-24.5,79.83,3.18
137,Lundazi,8,ZM,1603932995,66,-12.29,33.18,66.2,7.18
138,Kenai,0,US,1603933060,85,60.55,-151.26,34.0,3.0
139,Laas,100,IT,1603933003,100,46.62,10.7,43.0,2.06
140,Kuusamo,100,FI,1603933061,92,65.97,29.18,41.7,11.16
141,Carnarvon,34,AU,1603933061,45,-24.87,113.63,77.2,9.1
142,Lüderitz,100,NA,1603933061,69,-26.65,15.16,59.56,14.5
143,Urengoy,0,RU,1603933061,88,65.97,78.37,-4.18,4.97
144,Novoye Leushino,0,RU,1603933061,91,56.81,40.51,37.09,6.85
145,Evensk,0,RU,1603933061,78,61.95,159.23,26.53,5.48
146,Mar del Plata,0,AR,1603933061,64,-38.0,-57.56,54.0,5.01
147,San Quintín,0,MX,1603933061,49,30.48,-115.95,65.95,9.75
148,Bethel,100,US,1603933027,96,41.37,-73.41,50.0,4.88
149,San Jose,5,US,1603933034,25,37.34,-121.89,73.4,6.93
150,Lagoa,1,PT,1603933062,79,39.05,-27.98,65.98,11.79
151,Dunedin,99,NZ,1603933037,88,-45.87,170.5,52.0,11.41
152,Kirakira,100,SB,1603933049,68,-10.45,161.92,85.62,11.83
153,Okhotsk,100,RU,1603933062,88,59.38,143.3,28.87,8.16
154,Saint Paul Harbor,52,US,1603932626,70,57.79,-152.41,40.26,4.0
155,Kununurra,0,AU,1603933062,37,-15.77,128.73,93.11,4.41
156,Bam,0,IR,1603933062,29,29.11,58.36,59.97,12.28
157,Gorgan,63,IR,1603933063,57,36.84,54.43,62.55,0.98
158,Avera,100,US,1603932945,89,33.19,-82.53,75.99,12.84
159,Cockburn Town,1,TC,1603933063,75,21.46,-71.14,82.87,21.32
160,Puri,0,IN,1603933063,62,19.8,85.85,74.05,10.51
161,Half Moon Bay,1,US,1603932953,68,37.46,-122.43,64.4,3.36
162,Kiryat Gat,25,IL,1603932871,100,31.61,34.76,75.0,5.82
163,Nabire,39,ID,1603932889,55,-3.37,135.48,87.62,4.16
164,Bushehr,0,IR,1603933063,57,28.97,50.84,75.11,3.42
165,Souillac,89,MU,1603932811,73,-20.52,57.52,71.01,4.0
166,Florø,100,NO,1603933064,91,61.6,5.03,46.0,4.0
167,Padang,100,ID,1603933064,61,-0.95,100.35,82.18,0.65
168,Shemgang,0,BT,1603933064,41,27.22,90.66,53.49,6.85
169,Dubna,0,RU,1603933064,94,56.73,37.17,40.37,5.95
170,Vanimo,100,PG,1603933064,60,-2.67,141.3,88.45,2.04
171,Hearst,0,CA,1603933064,79,49.68,-83.67,24.8,4.7
172,Klaksvík,66,FO,1603933064,83,62.23,-6.59,48.13,16.96
173,Pokhara,0,NP,1603933065,30,28.23,83.98,61.77,4.9
174,Inhambane,33,MZ,1603933065,87,-23.86,35.38,72.36,10.33
175,Pisco,0,PE,1603933065,86,-13.7,-76.22,63.0,14.0
176,Taihecun,0,CN,1603933065,75,45.8,130.85,35.91,14.47
177,Norman Wells,88,CA,1603933065,96,65.28,-126.83,17.8,2.82
178,Pangnirtung,45,CA,1603933065,80,66.15,-65.71,8.74,4.5
179,North Bend,0,US,1603933065,10,43.41,-124.22,64.99,3.0
180,New Norfolk,42,AU,1603933065,54,-42.78,147.06,69.01,1.01
181,Khatanga,0,RU,1603933066,87,71.97,102.5,-0.83,8.03
182,Chokurdakh,42,RU,1603932995,91,70.63,147.92,-4.09,7.92
183,Dunkwa,34,GH,1603933066,97,5.97,-1.78,72.61,1.32
184,Egvekinot,7,RU,1603933010,88,66.32,-179.17,16.59,4.79
185,Alugan,100,PH,1603933066,73,12.22,125.48,84.09,11.07
